A, B, NO, 152, 69, .454, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABDOMEN, ORGAN, YES, 152, 3, .020, 0.000, .0120, .0061, 2, 3, 1.0, 1, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 12, 26, 5.81, N, N, 1.45, .55, .046, 1
ABDOMEN, PAIN, YES, 152, 3, .020, 0.000, .0230, 0.0000, 2, 3, 0.0, 0, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 13, 88, 4.22, , N, .92, .50, .340, 1
ABDOMEN, BELLY, YES, 152, 2, .013, 0.000, .0120, .2264, 1, 3, 1.0, 0, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 12, 23, 6.04, , N, .50, .50, .014, 1
ABDOMEN, CRAMP, YES, 152, 2, .013, 0.000, 0.0000, .0436, 0, 3, 3.0, 3, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 14, 2, ¥, , N, 1.17, 0.00, 0.000, 1
ABDOMEN, CRUNCHES, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 6, 6.83, , N, 1.78, .11, .012, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABDOMEN, INTESTINE, YES, 152, 2, .013, 0.000, .0280, .1799, 1, 3, 3.0, 2, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 18, 1, ¥, , N, 1.33, .08, .016, 0
ABDOMEN, SEX, YES, 152, 2, .013, 0.000, .0010, 0.0000, 1, 3, 0.0, 0, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 15, 84, 5.33, , N, 1.71, .57, .043, 1
ABDOMEN, SIX PACK, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 6, 6.83, , N, 1.78, .11, .012, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABDUCT, KIDNAP, YES, 150, 68, .453, .079, .0010, .0664, 1, 4, 3.0, 3, 11, 0, ¥, , V, 1.14, .14, .036, 0, 12, 0, ¥, , V, .91, .09, .036, 1
ABDUCT, TAKE, YES, 150, 27, .180, 0.000, .1660, .0086, 3, 4, 1.0, 0, 11, 0, ¥, , V, 1.14, .14, .036, 0, 11, 611, 3.20, , V, 2.55, .73, .250, 1
ABDUCT, STEAL, YES, 150, 10, .067, 0.000, .0710, .0590, 2, 4, 1.0, 0, 11, 0, ¥, , V, 1.14, .14, .036, 0, 17, 5, 3.59, , V, 2.56, .44, .131, 1
ABDUCT, ALIEN, NO, 150, 7, .047, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 11, 0, ¥, , V, 1.14, .14, .036, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABDUCT, ADDUCT, NO, 150, 6, .040, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 11, 0, ¥, , V, 1.14, .14, .036, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABDUCT, CHILD, YES, 150, 3, .020, 0.000, .0570, 0.0000, 2, 4, 0.0, 0, 11, 0, ¥, , V, 1.14, .14, .036, 0, 15, 213, 5.72, , N, 2.60, .53, .163, 1
ABDUCT, CAPTURE, YES, 150, 2, .013, 0.000, 0.0000, .0349, 0, 4, 2.0, 2, 11, 0, ¥, , V, 1.14, .14, .036, 0, 24, 17, ¥, , V, 2.26, .22, .009, 1
ABDUCT, HARASS, NO, 150, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 11, 0, ¥, , V, 1.14, .14, .036, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABDUCT, KIDNAPPER, NO, 150, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 11, 0, ¥, , V, 1.14, .14, .036, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABDUCT, MISSING, YES, 150, 2, .013, 0.000, 0.0000, .0007, 0, 4, 1.0, 1, 11, 0, ¥, , V, 1.14, .14, .036, 0, 11, 33, ¥, , V, .80, .30, .008, 1
ABDUCT, OPEN, YES, 150, 2, .013, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 11, 0, ¥, , V, 1.14, .14, .036, 0, 5, 319, 3.72, G, AJ, 1.60, 1.00, .340, 1
ABILITY, CAPABILITY, YES, 143, 17, .119, .282, .0060, .0194, 3, 4, 6.0, 4, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 12, 14, 2.42, , N, 1.45, .27, .035, 1
ABILITY, ABLE, YES, 143, 11, .077, .014, .0280, .0053, 4, 4, 4.0, 1, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0
ABILITY, COMPETENCE, YES, 143, 9, .063, .175, 0.0000, .0152, 0, 4, 4.0, 4, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 13, 18, 1.86, , N, 2.00, .10, .011, 0
ABILITY, SKILL, YES, 143, 8, .056, .102, .0040, .0071, 2, 4, 3.0, 2, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 21, 42, 3.24, , N, 2.05, .19, .024, 1
ABILITY, STRENGTH, YES, 143, 8, .056, .028, .0100, .0032, 4, 4, 1.0, 0, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 9, 136, 2.90, , N, 1.75, .75, .113, 1
ABILITY, INABILITY, YES, 143, 6, .042, .046, 0.0000, .0039, 0, 4, 3.0, 2, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 20, 17, ¥, , N, 1.36, .09, .002, 0
ABILITY, POWER, YES, 143, 5, .035, 0.000, .0050, .0088, 1, 4, 1.0, 0, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 22, 342, 3.32, G, N, 1.32, .41, .026, 1
ABILITY, TALENT, YES, 143, 5, .035, .048, .0150, .0050, 3, 4, 1.0, 0, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 16, 40, 2.88, , N, 1.75, .31, .020, 1
ABILITY, DISABILITY, NO, 143, 4, .028, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 22, 74, 2.03, , N, 2.00, .50, .060, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABILITY, DO, YES, 143, 3, .021, 0.000, .0030, .0005, 2, 4, 1.0, 1, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 20, 1363, 2.72, , V, 1.18, .53, .013, 0
ABILITY, POTENTIAL, YES, 143, 3, .021, .089, .0070, .0034, 1, 4, 3.0, 2, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 25, 67, 1.90, , AJ, 1.32, .14, .005, 1
ABILITY, ATHLETE, YES, 143, 2, .014, 0.000, .0010, .0032, 1, 4, 2.0, 1, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 18, 9, ¥, , N, 1.82, .24, .035, 1
ABILITY, CAN, YES, 143, 2, .014, 0.000, .0150, .0029, 1, 4, 2.0, 1, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 20, 1772, 3.61, N, V, 1.95, .58, .120, 1
ABILITY, CAPACITY, YES, 143, 2, .014, .086, .0020, .0025, 2, 4, 1.0, 0, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 23, 83, 2.41, , N, 1.70, .26, .005, 1
ABILITY, KNOW HOW, NO, 143, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 22, 74, 2.03, , N, 2.00, .50, .060, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABILITY, KNOWLEDGE, YES, 143, 2, .014, 0.000, .0050, .0008, 3, 4, 1.0, 1, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 14, 145, 1.56, , N, 2.85, .69, .045, 1
ABILITY, MIND, YES, 143, 2, .014, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 10, 325, 2.60, N, N, 1.67, .78, .034, 1
ABILITY, PHYSICAL, YES, 143, 2, .014, 0.000, 0.0000, .0019, 1, 4, 2.0, 2, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 17, 138, ¥, , AJ, 1.21, .29, .023, 1
ABILITY, SPORT, YES, 143, 2, .014, 0.000, .0030, .0006, 2, 4, 1.0, 0, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 12, 17, 4.18, , N, 1.83, .50, .055, 1
ABILITY, TO, NO, 143, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 22, 74, 2.03, , N, 2.00, .50, .060, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABILITY, UNABLE, NO, 143, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 22, 74, 2.03, , N, 2.00, .50, .060, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABILITY, WORK, YES, 143, 2, .014, 0.000, .0020, 0.0000, 3, 4, 0.0, 0, 22, 74, 2.03, , N, 2.00, .50, .060, 1, 19, 760, 3.88, N, N, 1.63, .68, .091, 1
ABLE, WILLING, YES, 148, 39, .264, .348, .0010, .0027, 1, 7, 3.0, 1, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, 16, 69, ¥, , AJ, 1.11, .22, .094, 0
ABLE, CAN, YES, 148, 29, .196, .027, 0.0000, .0011, 1, 7, 1.0, 1, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, 20, 1772, 3.61, N, V, 1.95, .58, .120, 1
ABLE, CAPABLE, NO, 148, 14, .095, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABLE, UNABLE, NO, 148, 14, .095, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABLE, TO, NO, 148, 7, .047, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABLE, DISABLED, NO, 148, 4, .027, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABLE, DO, YES, 148, 4, .027, 0.000, .0080, 0.0000, 2, 7, 0.0, 0, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, 20, 1363, 2.72, , V, 1.18, .53, .013, 0
ABLE, BODIED, NO, 148, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABLE, HANDICAPPED, NO, 148, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABLE, STRONG, YES, 148, 3, .020, 0.000, 0.0000, 0.0000, 0, 7, 0.0, 0, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, 11, 202, 3.24, , AJ, 1.30, .60, .297, 1
ABLE, ABILITY, YES, 148, 2, .014, .077, 0.0000, .0053, 0, 7, 4.0, 2, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, 22, 74, 2.03, , N, 2.00, .50, .060, 1
ABLE, CAIN, NO, 148, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABLE, EASY, YES, 148, 2, .014, 0.000, .0120, 0.0000, 1, 7, 0.0, 0, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, 8, 125, 2.81, G, V, .38, .63, .064, 1
ABLE, READY, YES, 148, 2, .014, .014, .0120, .0108, 1, 7, 1.0, 0, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, 15, 143, ¥, , AJ, 1.27, .27, .004, 0
ABLE, WELL, YES, 148, 2, .014, 0.000, 0.0000, 0.0000, 0, 7, 0.0, 0, 15, 216, 2.91, , AJ, 1.12, .50, .098, 0, 12, 897, 4.57, N, N, 1.42, .42, .025, 1
ABNORMAL, NORMAL, YES, 139, 39, .281, .340, .0130, .0224, 4, 1, 4.0, 1, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 15, 136, 2.38, , AJ, 3.33, .60, .133, 1
ABNORMAL, WEIRD, YES, 139, 30, .216, .021, .0760, .0543, 8, 1, 7.0, 0, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 15, 10, 2.39, , AJ, 3.69, .85, .165, 1
ABNORMAL, STRANGE, YES, 139, 15, .108, 0.000, .0900, .1036, 7, 1, 5.0, 0, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 12, 84, 2.45, , AJ, 3.80, .70, .169, 1
ABNORMAL, DIFFERENT, YES, 139, 7, .050, 0.000, .0220, .0091, 6, 1, 4.0, 0, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 12, 312, 2.75, , AJ, 3.45, 1.00, .310, 1
ABNORMAL, RETARDED, YES, 139, 5, .036, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 17, 7, ¥, , AJ, 1.18, .09, .001, 0
ABNORMAL, CRAZY, YES, 139, 4, .029, 0.000, .0360, .0244, 3, 1, 4.0, 2, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 16, 34, 2.20, , AJ, 1.30, .60, .139, 0
ABNORMAL, ODD, YES, 139, 4, .029, 0.000, .0250, .0320, 5, 1, 4.0, 0, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 7, 44, 2.60, W, AJ, 1.71, .71, .368, 1
ABNORMAL, DEFORMED, NO, 139, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABNORMAL, INSANE, YES, 139, 2, .014, 0.000, .0060, .0154, 1, 1, 2.0, 1, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 11, 13, ¥, , AJ, 1.43, .14, .109, 0
ABNORMAL, ME, YES, 139, 2, .014, 0.000, .0050, .0028, 2, 1, 1.0, 0, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 12, 1181, 5.00, , P, 1.09, .64, .402, 0
ABNORMAL, PSYCHOLOGY, YES, 139, 2, .014, 0.000, 0.0000, .0004, 0, 1, 1.0, 1, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 14, 14, 3.42, , N, 1.62, .31, .005, 1
ABNORMAL, UNCOMMON, YES, 139, 2, .014, 0.000, 0.0000, .0248, 0, 1, 5.0, 5, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 12, 8, ¥, , AJ, 3.67, .25, .027, 1
ABNORMAL, UNUSUAL, YES, 139, 2, .014, .028, .0180, .0831, 6, 1, 5.0, 0, 13, 3, ¥, , AJ, 3.50, .25, .101, 1, 11, 63, 2.20, , AJ, 4.36, .91, .040, 1
ABOVE, BELOW, YES, 140, 79, .564, .503, 0.0000, .0006, 0, 0, 1.0, 1, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 9, 145, ¥, , A, 1.56, .44, .319, 1
ABOVE, BEYOND, YES, 140, 16, .114, .111, 0.0000, .0042, 0, 0, 1.0, 1, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 20, 175, ¥, , PP, 1.00, .11, .014, 1
ABOVE, UP, YES, 140, 9, .064, 0.000, .0030, .0026, 3, 0, 2.0, 0, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 5, 1895, 3.80, , AD, 1.20, 1.00, .502, 1
ABOVE, HIGH, YES, 140, 8, .057, 0.000, .0040, .0024, 3, 0, 2.0, 0, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 11, 497, 3.62, , AJ, .73, .55, .512, 1
ABOVE, OVER, YES, 140, 6, .043, .099, .0190, .0015, 2, 0, 1.0, 1, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 11, 1236, 2.80, , PP, .64, .46, .268, 1
ABOVE, TOP, YES, 140, 5, .036, .020, .0020, .0028, 1, 0, 2.0, 2, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 11, 204, 4.31, T, N, .82, .55, .359, 1
ABOVE, AVERAGE, YES, 140, 2, .014, .059, 0.0000, 0.0000, 0, 0, 0.0, 0, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 19, 130, 2.35, G, N, 1.72, .61, .030, 1
ABOVE, CLOUD, YES, 140, 2, .014, 0.000, .0030, .0048, 1, 0, 1.0, 0, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 8, 28, 5.42, G, N, .75, .38, .089, 1
ABOVE, SKY, YES, 140, 2, .014, 0.000, .0070, .0049, 3, 0, 3.0, 0, 9, 188, ¥, , AD, 1.44, .56, .302, 1, 12, 58, 5.32, , N, 1.18, .82, .232, 1
ABSENCE, GOOD, YES, 152, 22, .145, 0.000, .0010, 0.0000, 2, 2, 0.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 8, 807, 2.53, , AJ, .75, .75, .586, 1
ABSENCE, PRESENT, YES, 152, 15, .099, 0.000, .0030, .0014, 2, 2, 1.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 12, 377, 3.37, N, N, 1.25, .75, .275, 1
ABSENCE, MISSING, YES, 152, 13, .086, 0.000, 0.0000, 0.0000, 1, 2, 0.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 11, 33, ¥, , V, .80, .30, .008, 1
ABSENCE, SICK, YES, 152, 12, .079, 0.000, .0090, .0003, 1, 2, 1.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 13, 51, 3.89, , AJ, 2.23, .92, .390, 1
ABSENCE, PRESENCE, YES, 152, 9, .059, .138, .0020, .0063, 1, 2, 1.0, 1, 22, 53, ¥, , N, 1.65, .10, .010, 1, 14, 76, 3.37, , N, 1.15, .15, .009, 1
ABSENCE, TARDY, YES, 152, 7, .046, 0.000, .0020, .0003, 2, 2, 1.0, 1, 22, 53, ¥, , N, 1.65, .10, .010, 1, 3, 1, 2.53, , AJ, .67, .33, .079, 1
ABSENCE, ATTENDANCE, YES, 152, 6, .039, .034, 0.0000, .0212, 0, 2, 7.0, 7, 22, 53, ¥, , N, 1.65, .10, .010, 1, 19, 12, ¥, , N, 2.00, .06, .001, 0
ABSENCE, NOT THERE, NO, 152, 5, .033, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 22, 53, ¥, , N, 1.65, .10, .010, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
ABSENCE, AWAY, YES, 152, 4, .026, 0.000, 0.0000, .0023, 0, 2, 2.0, 2, 22, 53, ¥, , N, 1.65, .10, .010, 1, 17, 456, 2.53, , AD, 2.44, .38, .037, 1
ABSENCE, CLASS, YES, 152, 4, .026, 0.000, .0050, .0041, 4, 2, 1.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 23, 207, 5.03, G, N, 2.83, .61, .027, 1
ABSENCE, HERE, YES, 152, 4, .026, 0.000, .0230, .0023, 4, 2, 2.0, 1, 22, 53, ¥, , N, 1.65, .10, .010, 1, 4, 750, 2.81, , AD, .50, .75, .478, 1
ABSENCE, SCHOOL, YES, 152, 3, .020, 0.000, .0120, .0008, 6, 2, 1.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 22, 492, 5.25, T, N, 3.35, .70, .086, 1
ABSENCE, ALONE, YES, 152, 2, .013, 0.000, .0010, .0003, 2, 2, 2.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 19, 195, 3.81, , AJ, 1.44, .63, .090, 1
ABSENCE, EMPTY, YES, 152, 2, .013, 0.000, .0020, .0004, 3, 2, 2.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 11, 64, 3.65, , AJ, .27, .36, .358, 1
ABSENCE, EXCUSE, YES, 152, 2, .013, 0.000, 0.0000, .0055, 0, 2, 4.0, 4, 22, 53, ¥, , N, 1.65, .10, .010, 1, 16, 27, 3.05, , V, 1.06, .19, .040, 1
ABSENCE, ILLNESS, YES, 152, 2, .013, 0.000, .0020, .0571, 1, 2, 1.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 7, 20, 4.05, , N, 1.57, .14, .017, 1
ABSENCE, KIDS, YES, 152, 2, .013, 0.000, 0.0000, .0003, 0, 2, 1.0, 1, 22, 53, ¥, , N, 1.65, .10, .010, 1, 24, 32, ¥, , N, 1.95, .20, .055, 1
ABSENCE, MIND, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 10, 325, 2.60, N, N, 1.67, .78, .034, 1
ABSENCE, NOT, YES, 152, 2, .013, 0.000, .0010, 0.0000, 2, 2, 0.0, 0, 22, 53, ¥, , N, 1.65, .10, .010, 1, 21, 4609, 2.68, , AD, 1.40, 0.00, 0.000, 0
ABSENCE, VOID, YES, 152, 2, .013, 0.000, 0.0000, .0016, 1, 2, 2.0, 1, 22, 53, ¥, , N, 1.65, .10, .010, 1, 20, 10, ¥, G, N, 1.00, .06, .002, 0
